Temporada,Date,ADV,Resultado,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,V,BLK,STL,PF,TO,PTS,Estat. Temporada Regular
2017,Sáb 24/12,xATL,D109-108,19.0,3-4,75.0,1-1,100.0,1-2,50.0,7.0,6.0,3.0,0.0,6.0,5.0,8.0,
2017,Qua 21/12,emLAC,D119-102,21.0,4-7,57.1,0-2,0.0,1-2,50.0,6.0,1.0,0.0,0.0,3.0,2.0,9.0,
2017,Ter 20/12,xDAL,V117-107,38.0,13-17,76.5,1-1,100.0,0-0,0.0,17.0,9.0,0.0,1.0,1.0,3.0,27.0,
2017,Dom 18/12,xNY,V127-114,20.0,5-8,62.5,0-0,0.0,0-0,0.0,9.0,5.0,0.0,0.0,5.0,1.0,10.0,
2017,Sex 16/12,xPOR,V132-120,19.0,5-6,83.3,1-1,100.0,2-3,66.7,4.0,5.0,0.0,0.0,5.0,1.0,13.0,
2017,Ter 13/12,emDAL,D112-92,26.0,10-12,83.3,0-0,0.0,7-7,100.0,11.0,4.0,1.0,1.0,1.0,1.0,27.0,
2017,Dom 11/12,emORL,V121-113,26.0,6-11,54.5,0-3,0.0,2-2,100.0,6.0,6.0,2.0,1.0,3.0,1.0,14.0,
2017,Sex 9/12,emWSH,D92-85,28.0,6-10,60.0,0-0,0.0,5-7,71.4,11.0,1.0,1.0,0.0,1.0,4.0,17.0,
2017,Qui 8/12,emBKN,D116-111,21.0,5-7,71.4,0-0,0.0,4-4,100.0,10.0,3.0,1.0,0.0,3.0,1.0,14.0,
2017,december,december,december,25.7,6.9-10.3,67.5,0.4-1.1,38.5,2.8-3.5,78.6,8.8,4.9,0.8,0.5,3.3,2.1,17.0,
2017,Qui 1/12,xMIA,D106-98,24.0,7-11,63.6,0-0,0.0,3-4,75.0,14.0,3.0,0.0,1.0,3.0,1.0,17.0,
2017,Dom 27/11,emPHX,V120-114,31.0,3-8,37.5,1-2,50.0,6-6,100.0,11.0,3.0,1.0,0.0,2.0,1.0,13.0,
2017,Sáb 26/11,xOKC,D132-129 TE,29.0,3-7,42.9,1-2,50.0,0-0,0.0,6.0,5.0,2.0,0.0,5.0,3.0,7.0,
2017,Qui 24/11,emUTAH,D108-83,23.0,4-6,66.7,0-0,0.0,1-2,50.0,5.0,6.0,0.0,0.0,4.0,0.0,9.0,
2017,Qua 23/11,xCHI,V110-107,18.0,3-5,60.0,0-0,0.0,2-2,100.0,8.0,3.0,1.0,1.0,1.0,0.0,8.0,
2017,Seg 21/11,xUTAH,V105-91,21.0,5-8,62.5,1-1,100.0,1-2,50.0,6.0,4.0,1.0,0.0,3.0,0.0,12.0,
2017,Sáb 19/11,xTOR,D113-111 TE,27.0,4-8,50.0,0-2,0.0,0-0,0.0,12.0,4.0,2.0,0.0,3.0,3.0,8.0,
2017,Qui 17/11,xPHX,V120-104,19.0,3-4,75.0,0-0,0.0,4-5,80.0,2.0,2.0,0.0,0.0,3.0,1.0,10.0,
2017,Seg 14/11,emPOR,D112-105,26.0,0-3,0.0,0-0,0.0,0-0,0.0,5.0,3.0,1.0,1.0,5.0,2.0,0.0,
2017,Dom 13/11,xDET,D106-95,20.0,2-7,28.6,0-0,0.0,2-2,100.0,3.0,1.0,0.0,1.0,1.0,1.0,6.0,
2017,Sex 11/11,xGS,D125-101,18.0,1-5,20.0,0-3,0.0,2-2,100.0,3.0,2.0,0.0,1.0,3.0,0.0,4.0,
2017,Qua 9/11,emMEM,D108-107,28.0,4-10,40.0,1-3,33.3,3-4,75.0,5.0,2.0,0.0,2.0,4.0,0.0,12.0,
2017,Seg 7/11,emBOS,V123-107,22.0,4-5,80.0,0-1,0.0,1-1,100.0,5.0,2.0,1.0,1.0,2.0,1.0,9.0,
2017,Sáb 5/11,emDET,D103-86,23.0,3-9,33.3,0-0,0.0,0-0,0.0,6.0,0.0,1.0,1.0,3.0,1.0,6.0,
2017,Sex 4/11,emMIN,V102-99,14.0,3-3,100.0,0-0,0.0,2-4,50.0,3.0,5.0,0.0,0.0,3.0,1.0,8.0,
2017,november,november,november,23.1,3.3-6.6,49.5,0.3-0.9,28.6,1.8-2.3,79.4,6.3,3.0,0.7,0.6,3.0,1.0,8.6,
2017,Seg 31/10,emTOR,D105-102,22.0,6-9,66.7,0-1,0.0,0-0,0.0,4.0,1.0,0.0,0.0,4.0,4.0,12.0,
2017,Dom 30/10,xPOR,D115-113 TE,34.0,10-20,50.0,1-5,20.0,2-3,66.7,17.0,2.0,1.0,4.0,5.0,1.0,23.0,
2017,Qui 27/10,emNO,V107-102,21.0,2-5,40.0,1-2,50.0,0-0,0.0,7.0,2.0,0.0,0.0,4.0,4.0,5.0,
2017,october,october,october,26.0,6.0-11.3,52.9,0.7-2.7,25.0,0.7-1.0,66.7,9.3,1.7,0.3,1.3,4.3,3.0,13.3,
2018,Qui 12/4,emMIN,D112-106 TE,46.0,14-25,56.0,4-7,57.1,3-4,75.0,10.0,3.0,0.0,1.0,4.0,3.0,35.0,
2018,Ter 10/4,xPOR,V88-82,38.0,5-14,35.7,1-4,25.0,4-4,100.0,20.0,11.0,1.0,2.0,2.0,2.0,15.0,
2018,Sáb 7/4,emLAC,V134-115,34.0,9-14,64.3,1-2,50.0,4-5,80.0,11.0,11.0,1.0,2.0,2.0,2.0,23.0,
